200
(
(0.000000 ((0 0 0) (-210.000000 0 0)))
(0.003015 ((0 0 0) (-209.927079 0 0)))
(0.006030 ((0 0 0) (-209.709806 0 0)))
(0.009045 ((0 0 0) (-209.350418 0 0)))
(0.012060 ((0 0 0) (-208.851148 0 0)))
(0.015075 ((0 0 0) (-208.214234 0 0)))
(0.018090 ((0 0 0) (-207.441910 0 0)))
(0.021106 ((0 0 0) (-206.536413 0 0)))
(0.024121 ((0 0 0) (-205.499977 0 0)))
(0.027136 ((0 0 0) (-204.334838 0 0)))
(0.030151 ((0 0 0) (-203.043232 0 0)))
(0.033166 ((0 0 0) (-201.627394 0 0)))
(0.036181 ((0 0 0) (-200.089560 0 0)))
(0.039196 ((0 0 0) (-198.431966 0 0)))
(0.042211 ((0 0 0) (-196.656847 0 0)))
(0.045226 ((0 0 0) (-194.766438 0 0)))
(0.048241 ((0 0 0) (-192.762975 0 0)))
(0.051256 ((0 0 0) (-190.648694 0 0)))
(0.054271 ((0 0 0) (-188.425830 0 0)))
(0.057286 ((0 0 0) (-186.096619 0 0)))
(0.060302 ((0 0 0) (-183.663296 0 0)))
(0.063317 ((0 0 0) (-181.128097 0 0)))
(0.066332 ((0 0 0) (-178.493258 0 0)))
(0.069347 ((0 0 0) (-175.761013 0 0)))
(0.072362 ((0 0 0) (-172.933599 0 0)))
(0.075377 ((0 0 0) (-170.013251 0 0)))
(0.078392 ((0 0 0) (-167.002205 0 0)))
(0.081407 ((0 0 0) (-163.902696 0 0)))
(0.084422 ((0 0 0) (-160.716959 0 0)))
(0.087437 ((0 0 0) (-157.447231 0 0)))
(0.090452 ((0 0 0) (-154.095747 0 0)))
(0.093467 ((0 0 0) (-150.664742 0 0)))
(0.096482 ((0 0 0) (-147.156452 0 0)))
(0.099497 ((0 0 0) (-143.573113 0 0)))
(0.102513 ((0 0 0) (-139.916959 0 0)))
(0.105528 ((0 0 0) (-136.190228 0 0)))
(0.108543 ((0 0 0) (-132.395153 0 0)))
(0.111558 ((0 0 0) (-128.533971 0 0)))
(0.114573 ((0 0 0) (-124.608917 0 0)))
(0.117588 ((0 0 0) (-120.622228 0 0)))
(0.120603 ((0 0 0) (-116.576137 0 0)))
(0.123618 ((0 0 0) (-112.472882 0 0)))
(0.126633 ((0 0 0) (-108.314697 0 0)))
(0.129648 ((0 0 0) (-104.103818 0 0)))
(0.132663 ((0 0 0) (-99.842480 0 0)))
(0.135678 ((0 0 0) (-95.532920 0 0)))
(0.138693 ((0 0 0) (-91.177372 0 0)))
(0.141709 ((0 0 0) (-86.778073 0 0)))
(0.144724 ((0 0 0) (-82.337258 0 0)))
(0.147739 ((0 0 0) (-77.857161 0 0)))
(0.150754 ((0 0 0) (-73.340020 0 0)))
(0.153769 ((0 0 0) (-68.788069 0 0)))
